nama_puskesmas,nama_layanan,hari,jam,telepon,whatsapp
Bojonegara,Ruang Bersalin,Senin - Minggu,24 Jam,(0254) 7850504,(0254) 7850504
Carenang,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Carenang,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Carenang,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Cikande,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Cikande,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Cikande,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Cikeusal,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Cikeusal,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Cikeusal,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Cinangka,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Cinangka,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Cinangka,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Ciomas,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Ciomas,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Ciomas,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Ciruas,PELAYANAN UMUM,Senin - Kamis,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN UMUM,Jumat,07:30 - 11:00,(0254) 280150,087877304050
Ciruas,PELAYANAN UMUM,Sabtu,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN GIGI & MULUT,Senin - Kamis,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN GIGI & MULUT,Jumat,07:30 - 11:00,(0254) 280150,087877304050
Ciruas,PELAYANAN GIGI & MULUT,Sabtu,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN KIA,Senin - Kamis,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN KIA,Jumat,07:30 - 11:00,(0254) 280150,087877304050
Ciruas,PELAYANAN KIA,Sabtu,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN JIWA,Jumat,07:30 - 11:00,(0254) 280150,087877304050
Ciruas,PELAYANAN KUSTA,Kamis,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN POLI TB - PARU,Selasa - Rabu,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,PELAYANAN HIV & IMS,Senin - Sabtu,07:30 - 12:00,(0254) 280150,087877304050
Ciruas,UGD & PERSALINAN ( 24 JAM ),Senin - Minggu,24 Jam,(0254) 280150,087877304050
Gunungsari,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Gunungsari,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Gunungsari,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Jawilan,UGD,Senin - Minggu,24 Jam,087755532508,081234567890
Jawilan,Ruang Bersalin,Senin - Minggu,24 Jam,087755532508,081234567890
Jawilan,pelayanan gigi,Senin - Sabtu,07:00 - 14:00,087755532508,081234567890
Kibin,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Kibin,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Kibin,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Kopo,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Kopo,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Kopo,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Kragilan,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Kragilan,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Kragilan,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Kramatwatu,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Kramatwatu,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Kramatwatu,Ruang Bersalin,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Lebakwangi,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Lebakwangi,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Lebakwangi,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Mancak,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Mancak,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Mancak,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Nyompok,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Nyompok,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Nyompok,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Pabuaran,Pelayanan Umum,Senin - Sabtu,07:45 - 12:00,(0254) 000000,081234567890
Pabuaran,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Pabuaran,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Padarincang,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Padarincang,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Padarincang,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Pamarayan,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Pamarayan,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Pamarayan,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Pematang,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Pematang,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Pematang,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Petir,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Petir,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Petir,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Pontang,Pelayanan Umum,Senin - Sabtu,07:00 - 14:00,(0254) 000000,081234567890
Pontang,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Pontang,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Puloampel,Rawat Jalan,Senin - Sabtu,07:30 - 14:00,(0254) 000000,081234567890
Puloampel,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Puloampel,UGD Maternal,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Tanara,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Tanara,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Tanara,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Tirtayasa,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Tirtayasa,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Tirtayasa,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Tunjungteja,Pelayanan Umum,Senin - Jumat,24 Jam,(0254) 000000,081234567890
Tunjungteja,UGD,Senin - Minggu,24 Jam,(0254) 000000,081234567890
Tunjungteja,Ruang Bersalin,Senin,07:00 - 16:00,(0254) 000000,081234567890
Waringinkurung,PELAYANAN PENDAFTARAN,Senin - Sabtu,07:30 - 11:30,(0254) 8484369,087713768876
Waringinkurung,UGD DAN PERSALINAN,Senin - Minggu,24 Jam,(0254) 8484369,087713768876
Waringinkurung,PELAYANAN POLI RAWAT JALAN,Senin - Sabtu,08:00 - 14:00,(0254) 8484369,087713768876
